Authors,Author(s) ID,Year,Source title,Link,EID
"Bezemer K., Woortmeijer R., Koeberg M., Wiarda W., Schoenmakers P., van Asten A.","56226487300;57202996129;6602853554;6506099093;35510357700;56099430100;",2018,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050120435&doi=10.1016%2fj.forsciint.2018.06.012&partnerID=40&md5=e6d50cd7b8b8ee114a1c1502478f1ff1",2-s2.0-85050120435
"Brożek-Mucha Z.","6602161516;",2017,"Analytical and Bioanalytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025128730&doi=10.1007%2fs00216-017-0460-1&partnerID=40&md5=899f63bf47a76e55a484eaedd0f061e8",2-s2.0-85025128730
"Abdul-Karim N., Blackman C.S., Gill P.P., Morgan R.M., Matjacic L., Webb R., Ng W.H.","55537651900;7005826606;55192818500;57194780985;55123257900;7403006881;56386662300;",2016,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963795050&doi=10.1021%2facs.analchem.6b00080&partnerID=40&md5=d7235f4dec1992304e77b26e25ed62d6",2-s2.0-84963795050
"Martín-Alberca C., Zapata F., Carrascosa H., Ortega-Ojeda F.E., García-Ruiz C.","55345515200;56417459200;56996100800;55781840300;35271820400;",2016,"Talanta","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949439584&doi=10.1016%2fj.talanta.2015.11.070&partnerID=40&md5=26d1f846472b43b069bc678818b5abaf",2-s2.0-84949439584
"Brozek-Mucha Z.","6602161516;",2015,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937239494&doi=10.1016%2fj.forsciint.2015.06.033&partnerID=40&md5=22f29e883d9201139cb8595e3009dd95",2-s2.0-84937239494
"Kara I., Lisesivdin S.B., Kasap M., Er E., Uzek U.","56592181100;16242267700;6603712742;57196873216;6504143483;",2015,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938216604&doi=10.1111%2f1556-4029.12785&partnerID=40&md5=79cb93cbb9f916235a1245b91aefd384",2-s2.0-84938216604
"Randolph-Quinney P.","56862348800;",2014,"Advances in Forensic Human Identification","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061756138&doi=10.1201%2fb16509&partnerID=40&md5=c7ae168534a897426139482140a5538a",2-s2.0-85061756138
"Martín-Alberca C., de la Ossa M.A.F., Sáiz J., Ferrando J.L., García-Ruiz C.","55345515200;36614132800;47161508500;36614345100;35271820400;",2014,"Electrophoresis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917671289&doi=10.1002%2felps.201400078&partnerID=40&md5=1128f5c69eb5061208dbf5b3fd2d8f3b",2-s2.0-84917671289
"Martín-Alberca C., García-Ruiz C.","55345515200;35271820400;",2014,"TrAC - Trends in Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896260126&doi=10.1016%2fj.trac.2013.12.010&partnerID=40&md5=376751c0ff144e91237f955e0dcb0cda",2-s2.0-84896260126
"Ditrich H.","6701458279;",2012,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862646554&doi=10.1016%2fj.forsciint.2012.01.034&partnerID=40&md5=1bfcd549dd0998cf5c9f9b4dbfac4acd",2-s2.0-84862646554
"Cao X., Masatani P., Torraca G., Wen Z.-Q.","7403370447;24559316800;24559360900;55286502000;",2010,"Applied Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956251326&doi=10.1366%2f000370210792080957&partnerID=40&md5=944b9431668a74fc5226f8b511d3207e",2-s2.0-77956251326
"Vermeij E., Duvalois W., Webb R., Koeberg M.","26041107100;25627263600;55424024500;6602853554;",2009,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-62549105689&doi=10.1016%2fj.forsciint.2009.01.019&partnerID=40&md5=2ead01b45b09e5c94d9c62f3431f86ee",2-s2.0-62549105689
"Berk R.E.","16648006100;",2009,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149195445&doi=10.1111%2fj.1556-4029.2008.00919.x&partnerID=40&md5=1e0b9280897051047c2d6f11b29e6c6d",2-s2.0-58149195445
"Oommen Z., Pierce S.M.","6603044544;13606396600;",2006,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646746625&doi=10.1111%2fj.1556-4029.2006.00107.x&partnerID=40&md5=b46dca8d7bf78262ac34fc565d1b7e09",2-s2.0-33646746625
"Kosanke K.L., Dujay R.C., Kosanke B.J.","57027894800;6504526921;6506502830;",2006,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644881623&doi=10.1111%2fj.1556-4029.2006.00055.x&partnerID=40&md5=a803a65822978208a8ff053276358876",2-s2.0-33644881623
"Rendle D.F.","6602715582;",2005,"Chemical Society Reviews","https://www.scopus.com/inward/record.uri?eid=2-s2.0-29144439148&doi=10.1039%2fb415890n&partnerID=40&md5=1467c1d9ad8ffa8f3825cbf171eb281f",2-s2.0-29144439148
"Brettell T.A., Butler J.M., Saferstein R.","6604035747;7403925483;6603724137;",2005,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-20544474547&doi=10.1021%2fac050682e&partnerID=40&md5=0dfd57d04975ce76562318fadf4a6a9b",2-s2.0-20544474547
