Authors,Author(s) ID,Year,Source title,Link,EID
"Dalby O., Butler D., Birkett J.W.","36160383000;57198299952;7004014784;",2010,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954320178&doi=10.1111%2fj.1556-4029.2010.01370.x&partnerID=40&md5=8ed7f76d57e3a1216c821751a8972c1b",2-s2.0-77954320178
"Bratin K., Kissinger P.T., Briner R.C., Bruntlett C.S.","6508162317;7102606764;7003937016;7801358010;",1981,"Analytica Chimica Acta","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001056411&doi=10.1016%2fS0003-2670%2801%2993007-7&partnerID=40&md5=9d00c4cb1627a9c4c7d2c05ddc479934",2-s2.0-0001056411
"Meng H.-H., Caddy B.","7202278946;7004233264;",1997,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030793488&partnerID=40&md5=915d1f40dd367b065908551af1262b10",2-s2.0-0030793488
"Thormann W., Lurie I.S., McCord B., Marti U., Cenni B., Malik N.","7005530699;7006426157;7004001442;35575910800;6603115000;57194825856;",2001,"Electrophoresis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034747397&doi=10.1002%2f1522-2683%28200111%2922%3a19%3c4216%3a%3aAID-ELPS4216%3e3.0.CO%3b2-W&partnerID=40&md5=165c9e0871a24c5f89ecb0ee106cc7c1",2-s2.0-0034747397
"Basu S.","7403656094;",1982,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020044187&partnerID=40&md5=8c5ac64a34c01b08f64bfdc6d6e77ba6",2-s2.0-0020044187
"Zeichner A.","7005860122;",2003,"Analytical and Bioanalytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141956029&doi=10.1007%2fs00216-003-1994-y&partnerID=40&md5=a6c7f79d64cba45b78e3c1d62f4352c5",2-s2.0-0141956029
"Ng P.H.R., Walker S., Tahtouh M., Reedy B.","35196476500;56664704900;6503940565;56041871900;",2009,"Analytical and Bioanalytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68549107756&doi=10.1007%2fs00216-009-2806-9&partnerID=40&md5=32a04d9793f57acf577fb3f6b11799bd",2-s2.0-68549107756
"Wolten G.M., Nesbitt R.S., Calloway A.R.","6507082150;7006043756;6602967574;",1979,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018772206&partnerID=40&md5=1725e9cd1b5c5cf28a9cb53bc72aab9b",2-s2.0-0018772206
"Garofano L., Capra M., Ferrari F., Bizzaro G.P., Di Tullio D., Dell'Olio M., Ghitti A.","13003629700;7006298574;36883328400;6507667796;6508260289;6603561438;6506793662;",1999,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033038170&doi=10.1016%2fS0379-0738%2899%2900035-3&partnerID=40&md5=5895cfdc2c630a19689aadb1f2753da1",2-s2.0-0033038170
"Laza D., Nys B., Kinder J.D., Kirsch-De Mesmaeker A., Moucheron C.","16506608200;35080922200;35080522800;7005778151;6603770123;",2007,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250325448&doi=10.1111%2fj.1556-4029.2007.00490.x&partnerID=40&md5=3068362e1964809a33319094f9aa3a0f",2-s2.0-34250325448
