Authors,Author(s) ID,Year,Source title,Link,EID
"Weber I.T., Terra I.A.A., Melo A.J.G.D., Lucena M.A.D.M., Wanderley K.A., Paiva-Santos C.D.O., Antônio S.G., Nunes L.A.O., Paz F.A.A., Sá G.F.D., Júnior S.A., Rodrigues M.O.","7102280478;15761194900;55153758900;7005609500;37100627500;7003936780;16315133000;35449509400;55950021100;15735187600;55153735000;10144730100;",2012,"RSC Advances","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859117735&doi=10.1039%2fc2ra01214f&partnerID=40&md5=e400e73a3bee1724c12a83c43a674415",2-s2.0-84859117735
"Bueno J., Lednev I.K.","55220519700;7004549899;",2013,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886773728&doi=10.1039%2fc3ay40721g&partnerID=40&md5=5e56dee16d848cfc0317c61de97e15a0",2-s2.0-84886773728
"Lucena M.A.M., De Sá G.F., Rodrigues M.O., Alves S., Talhavini M., Weber I.T.","7005609500;7004281939;10144730100;35516899500;6602405849;7102280478;",2013,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872531279&doi=10.1039%2fc2ay25535a&partnerID=40&md5=63c73a6b8eb5afd87388690831549af4",2-s2.0-84872531279
"Taudte R.V., Roux C., Bishop D., Blanes L., Doble P., Beavis A.","55907909000;7202017940;7401913655;8606130700;6603627895;7007045269;",2015,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940971109&doi=10.1039%2fc5ay00306g&partnerID=40&md5=82cb0894147e5a0abacce520bcb029f3",2-s2.0-84940971109
"Pereira De Oliveira L., Rocha D.P., Reis De Araujo W., Abarza Muñoz R.A., Longo Cesar Paixão T.R., Oliveira Salles M.","57204591960;57194055239;57204584786;56136382900;57204588106;57204588619;",2018,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056289207&doi=10.1039%2fc8ay01389f&partnerID=40&md5=a3ca6593418d41720a6ff8669024246d",2-s2.0-85056289207
"Castellanos A., Bell S., Fernandez-Lima F.","56404094200;55423348700;21734397400;",2016,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971425429&doi=10.1039%2fc6ay00096g&partnerID=40&md5=934113ac278f6adfe2723f4613ec3342",2-s2.0-84971425429
"Voss G., Eichner S.","7103150721;57188682501;",2000,"Advanced Synthesis and Catalysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346976308&partnerID=40&md5=64fc6c163260c8e2304200dcb1599fb4",2-s2.0-0346976308
"Levine B., Phipps R.J., Naso C., Fahie K., Fowler D.","7402295978;26657619200;54080234300;54079498200;7203066833;",2010,"Journal of Analytical Toxicology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954594738&doi=10.1093%2fjat%2f34.8.506&partnerID=40&md5=25a487bf2382c67c90b9711bf835a52e",2-s2.0-79954594738
"Fambro L.A., Miller E.T., Vandenbos D.D., Dockery C.R.","57189263514;57189268527;57189261324;6602477687;",2016,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967327853&doi=10.1039%2fc6ay00725b&partnerID=40&md5=ee8976c9897f3a6238f866f646231348",2-s2.0-84967327853
"McKenzie-Coe A., Bell S., Fernandez-Lima F.","56747984700;55423348700;21734397400;",2018,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053462430&doi=10.1039%2fc8ay00658j&partnerID=40&md5=7d1912a6ca1b28856f71ed008ac21ade",2-s2.0-85053462430
"Szynkowska M.I., Osingłowska K., Pawlaczyk A., Palińska K., Marcinek M., Rogowski J., Czubak A., Parczewski A.","57193914006;55797459300;24074586700;55797115700;55797199700;7006403424;6602724429;6603939834;",2013,"Przemysl Chemiczny","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880380578&partnerID=40&md5=47a9c37ee37f0b2fc6b62d9c42f8b030",2-s2.0-84880380578
"Lewis S.W., Agg K.M., Gutowski S.J., Ross P.","7404038754;6504018741;36762161200;57210070692;",2004,"Encyclopedia of Analytical Science: Second Edition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947357834&doi=10.1016%2fB0-12-369397-7%2f00204-1&partnerID=40&md5=834d972456f231479774f5c47edb37a3",2-s2.0-33947357834
"Albino de Carvalho M., Talhavini M., Pimentel M.F., Amigo J.M., Pasquini C., Junior S.A., Weber I.T.","57204157323;6602405849;7006799228;13408911100;35507950000;55153735000;7102280478;",2018,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054748435&doi=10.1039%2fc8ay01341a&partnerID=40&md5=3b479b2931da1c01263cb9718a84e71e",2-s2.0-85054748435
"Arnaud C.H.","35730704100;",2012,"Chemical and Engineering News","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861563301&partnerID=40&md5=3593c787739c3cbce511e31ec7bd08a6",2-s2.0-84861563301
