Authors,Author(s) ID,Year,Source title,Link,EID
"Bratin K., Kissinger P.T., Briner R.C., Bruntlett C.S.","6508162317;7102606764;7003937016;7801358010;",1981,"Analytica Chimica Acta","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001056411&doi=10.1016%2fS0003-2670%2801%2993007-7&partnerID=40&md5=9d00c4cb1627a9c4c7d2c05ddc479934",2-s2.0-0001056411
"Northrop D.M., Martire D.E., MacCrehan W.A.","7006139649;7004499602;7003651944;",1991,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000317423&doi=10.1021%2fac00010a021&partnerID=40&md5=4234b4fae7f3ff155b89c4ee6a4a5b83",2-s2.0-0000317423
"Zeichner A.","7005860122;",2003,"Analytical and Bioanalytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141956029&doi=10.1007%2fs00216-003-1994-y&partnerID=40&md5=a6c7f79d64cba45b78e3c1d62f4352c5",2-s2.0-0141956029
"Ng P.H.R., Walker S., Tahtouh M., Reedy B.","35196476500;56664704900;6503940565;56041871900;",2009,"Analytical and Bioanalytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68549107756&doi=10.1007%2fs00216-009-2806-9&partnerID=40&md5=32a04d9793f57acf577fb3f6b11799bd",2-s2.0-68549107756
"Garofano L., Capra M., Ferrari F., Bizzaro G.P., Di Tullio D., Dell'Olio M., Ghitti A.","13003629700;7006298574;36883328400;6507667796;6508260289;6603561438;6506793662;",1999,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033038170&doi=10.1016%2fS0379-0738%2899%2900035-3&partnerID=40&md5=5895cfdc2c630a19689aadb1f2753da1",2-s2.0-0033038170
"Cruces-Blanco C., Gámiz-Gracia L., García-Campaña A.M.","56089349500;6601966891;7004918727;",2007,"TrAC - Trends in Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847260323&doi=10.1016%2fj.trac.2006.12.007&partnerID=40&md5=c466df607dc94a0a3d4a34233e2088c6",2-s2.0-33847260323
"Bueno J., Sikirzhytski V., Lednev I.K.","55220519700;24169870800;7004549899;",2012,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861117513&doi=10.1021%2fac203429x&partnerID=40&md5=ec0d5b82de12f5e61504169ad57325fa",2-s2.0-84861117513
"Weber I.T., De Melo A.J.G., Lucena M.A.D.M., Rodrigues M.O., Alves Junior S.","7102280478;15847559300;7005609500;10144730100;35516899500;",2011,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959216022&doi=10.1021%2fac200680a&partnerID=40&md5=8cc5af44b52f7d8d6f01ce2a4006cee2",2-s2.0-79959216022
"Brozek-Mucha Z., Jankowicz A.","6602161516;15737086500;",2001,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035891493&doi=10.1016%2fS0379-0738%2801%2900518-7&partnerID=40&md5=7a30b1cebd2b6ae79fa112bb6cb349cc",2-s2.0-0035891493
"Bernal Morales E., Revilla Vázquez A.L.","6506275690;55788043300;",2004,"Journal of Chromatography A","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9744261714&doi=10.1016%2fj.chroma.2004.10.083&partnerID=40&md5=05c2a0abec58da8e9e3c88b9de69f84b",2-s2.0-9744261714
