Authors,Author(s) ID,Year,Source title,Link,EID
"Dockery C.R., Goode S.R.","6602477687;7006394108;",2003,"Applied Optics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242271399&doi=10.1364%2fAO.42.006153&partnerID=40&md5=37d6c4b03cfb9a2f5e01707d2ed9a8e5",2-s2.0-0242271399
"Bueno J., Lednev I.K.","55220519700;7004549899;",2013,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886773728&doi=10.1039%2fc3ay40721g&partnerID=40&md5=5e56dee16d848cfc0317c61de97e15a0",2-s2.0-84886773728
"Kuula J., Pölönen I., Puupponen H.-H., Selander T., Reinikainen T., Kalenius T., Saari H.","24363668200;55257235200;36158672800;57189086576;7004756057;55504955400;7003922988;",2012,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870195850&doi=10.1117%2f12.918555&partnerID=40&md5=6f3c7934a514605b71da0a6516d9f70a",2-s2.0-84870195850
"Lucena M.A.M., De Sá G.F., Rodrigues M.O., Alves S., Talhavini M., Weber I.T.","7005609500;7004281939;10144730100;35516899500;6602405849;7102280478;",2013,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872531279&doi=10.1039%2fc2ay25535a&partnerID=40&md5=63c73a6b8eb5afd87388690831549af4",2-s2.0-84872531279
"Taudte R.V., Roux C., Bishop D., Blanes L., Doble P., Beavis A.","55907909000;7202017940;7401913655;8606130700;6603627895;7007045269;",2015,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940971109&doi=10.1039%2fc5ay00306g&partnerID=40&md5=82cb0894147e5a0abacce520bcb029f3",2-s2.0-84940971109
"Salles M.O., Bertotti M., Paixão T.R.L.C.","29167555400;7004562485;6506102243;",2012,"Sensors and Actuators, B: Chemical","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861182076&doi=10.1016%2fj.snb.2012.02.097&partnerID=40&md5=84653e11b176a0b41ea77ae31faaae13",2-s2.0-84861182076
"Basu S., Ferriss S.","7403656094;6505773068;",1980,"Scanning Electron Microscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019113727&partnerID=40&md5=7f684e493721e2130e9f23b15b3c2c9e",2-s2.0-0019113727
"Ueyama M., Taylor R.L., Noguchi T.T.","7005898349;55728433200;57206652125;",1980,"Scanning Electron Microscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019093267&partnerID=40&md5=9f97d6b4b6f1695058d6e536d3353241",2-s2.0-0019093267
"Gansau H., Becker U.","55275324300;57197976576;",1982,"Scanning Electron Microscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020330007&partnerID=40&md5=8936fcb89afbef849c6106f45d2fa0a4",2-s2.0-0020330007
"Schumacher R., Barth M., Neimke D., Niewöhner L.","14630960900;57189351968;14631074000;20135268700;",2010,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954526420&doi=10.1117%2f12.853852&partnerID=40&md5=6b44d1d669363e886e1558b0cc8ee5d0",2-s2.0-77954526420
"Pereira De Oliveira L., Rocha D.P., Reis De Araujo W., Abarza Muñoz R.A., Longo Cesar Paixão T.R., Oliveira Salles M.","57204591960;57194055239;57204584786;56136382900;57204588106;57204588619;",2018,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056289207&doi=10.1039%2fc8ay01389f&partnerID=40&md5=a3ca6593418d41720a6ff8669024246d",2-s2.0-85056289207
"Castellanos A., Bell S., Fernandez-Lima F.","56404094200;55423348700;21734397400;",2016,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971425429&doi=10.1039%2fc6ay00096g&partnerID=40&md5=934113ac278f6adfe2723f4613ec3342",2-s2.0-84971425429
"Hondrogiannis E., Andersen D., Miziolek A.W.","55342863000;37100917000;7003962186;",2013,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881148483&doi=10.1117%2f12.2017900&partnerID=40&md5=69acbccbc96df591a4d9b295865c3f38",2-s2.0-84881148483
"Wan T., Yu D., Zhang T., Zhang X., Zhou J.","37012849400;57199475020;37012878900;37012845500;55723371200;",2010,"Procedia Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951804954&doi=10.1016%2fj.proeng.2010.11.004&partnerID=40&md5=1b72ecb362d208247e1db36c0091018d",2-s2.0-79951804954
"Sild E.H., Pausak S.","6603910292;6504434834;",1979,"Scanning Electron Microscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018620086&partnerID=40&md5=941fa82ebee43ed52e9b789de77dcd12",2-s2.0-0018620086
"Sen P., Mehta G.K.","7402920496;57196059648;",1983,"IEEE Transactions on Nuclear Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020115426&doi=10.1109%2fTNS.1983.4332515&partnerID=40&md5=23adb5e52af23ae90fa6531999c32a3e",2-s2.0-0020115426
"Burnett B.R.","35564659500;",2014,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922983230&doi=10.1117%2f12.2065553&partnerID=40&md5=f0014b023ebac5face68139d11f4d771",2-s2.0-84922983230
"Kotrlý M., Turková I.","56319424700;35086846200;",2011,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960419864&doi=10.1117%2f12.887850&partnerID=40&md5=a3777354822dab6f731d3fa682f1ec84",2-s2.0-79960419864
"Cervelli F., Carrato S., Mattei A., Jerian M., Benevoli L., Mancini L., Zanini F., Vaccari L., Perucchi A., Aquilanti G.","23134567700;7004596594;9132584400;9132584000;36909359600;7103376845;57204189019;6602731172;6603071452;55913711400;",2011,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952648611&doi=10.1117%2f12.876118&partnerID=40&md5=cf7265fc8fa49c639c393a9cefa3ee4a",2-s2.0-79952648611
"Ward D.C.","55464685100;",1982,"Scanning Electron Microscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020236297&partnerID=40&md5=0bc9428e4a9fd0a2eeadc3c035148a57",2-s2.0-0020236297
"Berk R., Horn A.","16648006100;57194191198;",2017,"AFTE Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019057238&partnerID=40&md5=0cc9c2c51e031c296e46a9876dbdf210",2-s2.0-85019057238
"Fambro L.A., Miller E.T., Vandenbos D.D., Dockery C.R.","57189263514;57189268527;57189261324;6602477687;",2016,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967327853&doi=10.1039%2fc6ay00725b&partnerID=40&md5=ee8976c9897f3a6238f866f646231348",2-s2.0-84967327853
"Knijnenberg A., Stamouli A., Janssen M.","15044809900;6602670587;56519154200;",2014,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923066193&doi=10.1117%2f12.2066992&partnerID=40&md5=a56b8586b248492b1878fea1ee78eb31",2-s2.0-84923066193
"Ricci C., Kazarian S.G.","57191581925;7005510823;",2006,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846974743&doi=10.1117%2f12.689429&partnerID=40&md5=cf8bf7592f3a9215cbab4270a1245dd5",2-s2.0-33846974743
"Taylor R.L., Taylor M.S., Noguchi T.T.","55728433200;56291830700;57206652092;",1979,"Scanning Electron Microscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018608314&partnerID=40&md5=d46eff4568a54318203de6c09cfe9c96",2-s2.0-0018608314
"McKenzie-Coe A., Bell S., Fernandez-Lima F.","56747984700;55423348700;21734397400;",2018,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053462430&doi=10.1039%2fc8ay00658j&partnerID=40&md5=7d1912a6ca1b28856f71ed008ac21ade",2-s2.0-85053462430
"Spathis V.","57194945450;",2017,"Defence Technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024406809&doi=10.1016%2fj.dt.2017.03.007&partnerID=40&md5=e02e46290f66fd60e9563a39c65e5c33",2-s2.0-85024406809
"Hashim N.H.M., Zain Z.M., Jaafar M.Z.","55539189170;26636222100;35740867900;",2016,"MATEC Web of Conferences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009354119&doi=10.1051%2fmatecconf%2f20165904005&partnerID=40&md5=cbe6933cf923d47532d0e85de2bb00dd",2-s2.0-85009354119
"Janssen M., Stamouli A., Knijnenberg A.","56519154200;6602670587;15044809900;",2015,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962651920&doi=10.1117%2f12.2197028&partnerID=40&md5=966aa31e02181aa557006ea23e592d80",2-s2.0-84962651920
"Toal S.J., Niemeyer W.D., Conte S., Montgomery D.D., Erikson G.S.","9434086100;7004458978;56519574900;56519132100;56520024100;",2014,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923039907&doi=10.1117%2f12.2074212&partnerID=40&md5=9d2ae7b557de203ab609e0f7b1ce3b27",2-s2.0-84923039907
"Wyatt J.M.","57197291589;",2011,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960383833&doi=10.1117%2f12.883409&partnerID=40&md5=121d66c4e4ef7f88c636e7d641287f3c",2-s2.0-79960383833
"Lewis S.W., Agg K.M., Gutowski S.J., Ross P.","7404038754;6504018741;36762161200;57210070692;",2004,"Encyclopedia of Analytical Science: Second Edition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947357834&doi=10.1016%2fB0-12-369397-7%2f00204-1&partnerID=40&md5=834d972456f231479774f5c47edb37a3",2-s2.0-33947357834
"Peeters M.H., Antoine J., Lamothe V., Viala A.","7203079611;7201606377;6506504555;57207543413;",1990,"Proceedings, Annual Conference - Microbeam Analysis Society","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025568804&partnerID=40&md5=5be88b1d8f65468795d6f792569474b8",2-s2.0-0025568804
"Matricardi V.R.","6603475876;",1979,"Scanning Electron Microscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018615451&partnerID=40&md5=c73d7a62eaab7a3a5c4ceabf24f94496",2-s2.0-0018615451
"Tassa M., Zeldes N.","6507905878;6602692002;",1979,"Scanning Electron Microscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018582840&partnerID=40&md5=0a4807e43379ba1f754aae6e69365813",2-s2.0-0018582840
"Albino de Carvalho M., Talhavini M., Pimentel M.F., Amigo J.M., Pasquini C., Junior S.A., Weber I.T.","57204157323;6602405849;7006799228;13408911100;35507950000;55153735000;7102280478;",2018,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054748435&doi=10.1039%2fc8ay01341a&partnerID=40&md5=3b479b2931da1c01263cb9718a84e71e",2-s2.0-85054748435
"Haag L.C.","16202326200;",2018,"AFTE Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068015545&partnerID=40&md5=61413f21abb4c0c20ff7a1cd3e94bb04",2-s2.0-85068015545
"Von Rentzell N.J.","57209506598;",2018,"AFTE Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067985976&partnerID=40&md5=36f6dbfc548d72e1d37c08761d0c36db",2-s2.0-85067985976
