Authors,Author(s) ID,Year,Source title,Link,EID
"Bratin K., Kissinger P.T., Briner R.C., Bruntlett C.S.","6508162317;7102606764;7003937016;7801358010;",1981,"Analytica Chimica Acta","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001056411&doi=10.1016%2fS0003-2670%2801%2993007-7&partnerID=40&md5=9d00c4cb1627a9c4c7d2c05ddc479934",2-s2.0-0001056411
"Tong Y., Wu Z., Yang C., Yu J., Zhang X., Yang S., Deng X., Xu Y., Wen Y.","55225471800;7501412325;7407744086;7405530456;35108563900;57199268729;16425410100;7406452111;55239417300;",2001,"Analyst","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035054972&doi=10.1039%2fb010183o&partnerID=40&md5=376067339b6eb872f5faedc5f7226b53",2-s2.0-0035054972
"Bandodkar A.J., O'Mahony A.M., Ramírez J., Samek I.A., Anderson S.M., Windmiller J.R., Wang J.","35072494300;24344377800;55800839600;55347843200;56053390400;24072330500;7701314455;",2013,"Analyst","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881644420&doi=10.1039%2fc3an01179h&partnerID=40&md5=75256b9b0b1e99b0e837c736b84c6093",2-s2.0-84881644420
"Thornton J.I.","7402781608;",1994,"Analytica Chimica Acta","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028267446&doi=10.1016%2f0003-2670%2894%2985117-4&partnerID=40&md5=8995482eb9bff7bb70aede63c9b6ea0d",2-s2.0-0028267446
"Briner R.C., Chouchoiy S., Webster R.W., Popham R.E.","7003937016;24456584300;24460160000;24604034900;",1985,"Analytica Chimica Acta","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001942443&doi=10.1016%2fS0003-2670%2800%2982590-8&partnerID=40&md5=eec1c107c624485887d32ba155ec14d6",2-s2.0-0001942443
"Abrego Z., Grijalba N., Unceta N., Maguregui M., Sanchez A., Fernández-Isla A., Goicolea M.A., Barrió R.J.","55062298400;56401022300;6507899948;24537370900;14322502100;55062298500;6602249008;7006546783;",2014,"Analyst","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908462472&doi=10.1039%2fc4an01051e&partnerID=40&md5=54d740959cf7138f7bbe19269b4ae30c",2-s2.0-84908462472
"Vuki M., Shiu K.-K., Galik M., O'Mahony A.M., Wang J.","6603158089;7006084968;15077814000;24344377800;7701314455;",2012,"Analyst","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862585036&doi=10.1039%2fc2an35379b&partnerID=40&md5=2ee2ba7555b144b86cb29ad3c539751e",2-s2.0-84862585036
"Kabir A., Holness H., Furton K.G., Almirall J.R.","7005744830;55347017000;7004543580;7004960911;",2013,"TrAC - Trends in Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875549460&doi=10.1016%2fj.trac.2012.11.013&partnerID=40&md5=04041eabfc9ffc6ca3496f1d997543d7",2-s2.0-84875549460
"Wu Z., Tong Y., Yu J., Zhang X., Pan C., Deng X., Xu Y., Wen Y.","7501412325;55225471800;7405530456;35108563900;57206949193;57209907653;7407810240;55239417300;",1999,"Analyst","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032703993&doi=10.1039%2fa904917g&partnerID=40&md5=f49786943d039b4298a1e7eb2fadfc89",2-s2.0-0032703993
"Christopher M.E., Warmenhoeven J.-W., Romolo F.S., Donghi M., Webb R.P., Jeynes C., Ward N.I., Kirkby K.J., Bailey M.J.","54782309500;56123957600;6508292376;55776762800;7403006881;7005965730;16192268900;8683196800;26640197300;",2013,"Analyst","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880445433&doi=10.1039%2fc3an00597f&partnerID=40&md5=7abbbcfdfa07798066e1d73d7b081112",2-s2.0-84880445433
