Authors,Author(s) ID,Year,Source title,Link,EID
"Szynkowska M.I., Czerski K., Rogowski J., Paryjczaka T., Parczewski A.","57193914006;57191635453;7006403424;36061754200;6603939834;",2010,"Surface and Interface Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951950425&doi=10.1002%2fsia.3193&partnerID=40&md5=21c91dac4d7d445a0be829a737dea2a2",2-s2.0-77951950425
"Doty K.C., Muro C.K., Bueno J., Halámková L., Lednev I.K.","56086169000;56469498800;55220519700;54414110100;7004549899;",2016,"Journal of Raman Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956594967&doi=10.1002%2fjrs.4826&partnerID=40&md5=f2a266bd6632622f8300237575145c49",2-s2.0-84956594967
"Kuula J., Pölönen I., Puupponen H.-H., Selander T., Reinikainen T., Kalenius T., Saari H.","24363668200;55257235200;36158672800;57189086576;7004756057;55504955400;7003922988;",2012,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870195850&doi=10.1117%2f12.918555&partnerID=40&md5=6f3c7934a514605b71da0a6516d9f70a",2-s2.0-84870195850
"Stich S., Bard D., Gros L., Wenz H.W., Yarwood J., Williams K.","36658081000;57197094749;56256898100;7003936731;7006318172;7404142431;",1998,"Journal of Raman Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0542423202&partnerID=40&md5=10720476947620d2039df89dde453c69",2-s2.0-0542423202
"Salles M.O., Bertotti M., Paixão T.R.L.C.","29167555400;7004562485;6506102243;",2012,"Sensors and Actuators, B: Chemical","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861182076&doi=10.1016%2fj.snb.2012.02.097&partnerID=40&md5=84653e11b176a0b41ea77ae31faaae13",2-s2.0-84861182076
"Nakai I., Ono Y., Li Q., Nishiwaki Y., Tanaka K., Nakayama S.","7006352348;57207099913;57191695183;8712957700;55351720200;35413550300;",2010,"Surface and Interface Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951973669&doi=10.1002%2fsia.3113&partnerID=40&md5=cc39cf5a397a2cddfe81528295f1a194",2-s2.0-77951973669
"Lucena M.A.M., Oliveira M.F.L., Arouca A.M., Talhavini M., Ferreira E.A., Alves S., Veiga-Souza F.H., Weber I.T.","7005609500;57193237482;55171878200;6602405849;36631865100;35516899500;57193239850;7102280478;",2017,"ACS Applied Materials and Interfaces","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011965267&doi=10.1021%2facsami.6b13474&partnerID=40&md5=bb06e58ef27ae0ba639470a0e9c6edfd",2-s2.0-85011965267
"Fedick P.W., Bain R.M.","55855088100;56452606200;",2017,"Forensic Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021396000&doi=10.1016%2fj.forc.2017.06.005&partnerID=40&md5=42e13ffcae400e33748a1e9f2d8ac1d4",2-s2.0-85021396000
"Khandasammy S.R., Fikiet M.A., Mistek E., Ahmed Y., Halámková L., Bueno J., Lednev I.K.","57200881474;57200879408;56730868900;57195100460;54414110100;55220519700;7004549899;",2018,"Forensic Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044131538&doi=10.1016%2fj.forc.2018.02.002&partnerID=40&md5=5ea5dab70104011ebce4dbd4d3b6e308",2-s2.0-85044131538
"D'Uffizi M., Falso G., Ingo G.M., Padeletti G.","6507141223;6507578475;7006028215;7003778883;",2002,"Surface and Interface Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036692755&doi=10.1002%2fsia.1348&partnerID=40&md5=c1f5952ac851527593b7e37ed2d2ee8e",2-s2.0-0036692755
