Authors,Author(s) ID,Year,Source title,Link,EID
"Saverio Romolo F., Margot P.","6508292376;7004580112;",2001,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035876938&doi=10.1016%2fS0379-0738%2800%2900428-X&partnerID=40&md5=e2f36a3e097a0be7c0c29e4addbcf379",2-s2.0-0035876938
"Dalby O., Butler D., Birkett J.W.","36160383000;57198299952;7004014784;",2010,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954320178&doi=10.1111%2fj.1556-4029.2010.01370.x&partnerID=40&md5=8ed7f76d57e3a1216c821751a8972c1b",2-s2.0-77954320178
"Thali M.J., Yen K., Vock P., Ozdoba C., Kneubuehl B.P., Sonnenschein M., Dirnhofer R.","7005096122;14065373100;7006601779;7003930363;6603616065;7003754815;7006721251;",2003,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345258500&doi=10.1016%2fS0379-0738%2803%2900225-1&partnerID=40&md5=c1267ae3997dc984925500f8491c40a6",2-s2.0-0345258500
"Meng H.-H., Caddy B.","7202278946;7004233264;",1997,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030793488&partnerID=40&md5=915d1f40dd367b065908551af1262b10",2-s2.0-0030793488
"Basu S.","7403656094;",1982,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020044187&partnerID=40&md5=8c5ac64a34c01b08f64bfdc6d6e77ba6",2-s2.0-0020044187
"Morelato M., Beavis A., Kirkbride P., Roux C.","36144095700;7007045269;56337473100;7202017940;",2013,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875606015&doi=10.1016%2fj.forsciint.2013.01.011&partnerID=40&md5=30f448a0603796257ef20d54d2f5984d",2-s2.0-84875606015
"Wolten G.M., Nesbitt R.S., Calloway A.R.","6507082150;7006043756;6602967574;",1979,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018772206&partnerID=40&md5=1725e9cd1b5c5cf28a9cb53bc72aab9b",2-s2.0-0018772206
"Garofano L., Capra M., Ferrari F., Bizzaro G.P., Di Tullio D., Dell'Olio M., Ghitti A.","13003629700;7006298574;36883328400;6507667796;6508260289;6603561438;6506793662;",1999,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033038170&doi=10.1016%2fS0379-0738%2899%2900035-3&partnerID=40&md5=5895cfdc2c630a19689aadb1f2753da1",2-s2.0-0033038170
"Stein K.M., Bahner M.L., Merkel J., Ain S., Mattern R.","7202988774;7003266659;36523455100;14526763600;7005945561;",2000,"International Journal of Legal Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034484897&doi=10.1007%2fs004149900124&partnerID=40&md5=ac0bced49e040c0f744d58aef828b1bc",2-s2.0-0034484897
"Laza D., Nys B., Kinder J.D., Kirsch-De Mesmaeker A., Moucheron C.","16506608200;35080922200;35080522800;7005778151;6603770123;",2007,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250325448&doi=10.1111%2fj.1556-4029.2007.00490.x&partnerID=40&md5=3068362e1964809a33319094f9aa3a0f",2-s2.0-34250325448
"Torre C., Mattutino G., Vasino V., Robino C.","7005464291;6506493063;6504256475;7003535231;",2002,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036112885&partnerID=40&md5=fd432f5d8da70a9bbcaf3dfb4247ce14",2-s2.0-0036112885
