Authors,Author(s) ID,Year,Source title,Link,EID
"Sitko R.","55885537900;",2009,"Spectrochimica Acta - Part B Atomic Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-71549146278&doi=10.1016%2fj.sab.2009.09.005&partnerID=40&md5=08c6e467ac8545d66b8e20e4b59a09cd",2-s2.0-71549146278
"Steffen S., Otto M., Niewoehner L., Barth M., Brozek-Mucha Z., Biegstraaten J., Horváth R.","23493906500;7201539824;8525342900;57189351968;6602161516;8525343100;21738982800;",2007,"Spectrochimica Acta - Part B Atomic Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548613217&doi=10.1016%2fj.sab.2007.04.005&partnerID=40&md5=822322c7343d49eb920a365123caa8c1",2-s2.0-34548613217
"Szynkowska M.I., Czerski K., Rogowski J., Paryjczaka T., Parczewski A.","57193914006;57191635453;7006403424;36061754200;6603939834;",2010,"Surface and Interface Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951950425&doi=10.1002%2fsia.3193&partnerID=40&md5=21c91dac4d7d445a0be829a737dea2a2",2-s2.0-77951950425
"Dockery C.R., Goode S.R.","6602477687;7006394108;",2003,"Applied Optics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242271399&doi=10.1364%2fAO.42.006153&partnerID=40&md5=37d6c4b03cfb9a2f5e01707d2ed9a8e5",2-s2.0-0242271399
"Rosenberg M.B., Dockery C.R.","8236814200;6602477687;",2008,"Applied Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57049156510&doi=10.1366%2f000370208786401473&partnerID=40&md5=bf690a08970c37793c526cb733e47469",2-s2.0-57049156510
"Brozek-Mucha Z.","6602161516;",2011,"Microscopy and Microanalysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82055166007&doi=10.1017%2fS1431927611012141&partnerID=40&md5=e98cedf3605ff58d8fbad29102f50436",2-s2.0-82055166007
"Schweitzer J.S., Trombka J.I., Floyd S., Selavka C., Zeosky G., Gahn N., McClanahan T., Burbine T.","22977348900;35433247000;7005201425;6701456515;9436085500;6505958429;7005454040;6701434521;",2005,"Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms","https://www.scopus.com/inward/record.uri?eid=2-s2.0-28044432110&doi=10.1016%2fj.nimb.2005.07.137&partnerID=40&md5=8c9efc0b039a3f13e119cd0a7c48a8ba",2-s2.0-28044432110
"Kuula J., Pölönen I., Puupponen H.-H., Selander T., Reinikainen T., Kalenius T., Saari H.","24363668200;55257235200;36158672800;57189086576;7004756057;55504955400;7003922988;",2012,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870195850&doi=10.1117%2f12.918555&partnerID=40&md5=6f3c7934a514605b71da0a6516d9f70a",2-s2.0-84870195850
"Goleb J.A., Midkiff Jr. C.R.","16061941000;6602160494;",1975,"Applied Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016444033&doi=10.1366%2f000370275774455428&partnerID=40&md5=e0ff6d2270c2320aa1357b0a9968df8e",2-s2.0-0016444033
"Admon U., Donohue D., Aigner H., Tamborini G., Bildstein O., Betti M.","6602866340;7006792918;7003861835;56240950300;57190210852;57200153262;",2005,"Microscopy and Microanalysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-23844531707&doi=10.1017%2fS1431927605050312&partnerID=40&md5=40e3bc5a0e0124a310d52183de033d02",2-s2.0-23844531707
"Lopez-Lopez M., De La Ossa M.A.F., Garcia-Ruiz C.","36614422500;36614132800;35271820400;",2015,"Applied Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947918736&doi=10.1366%2f14-07816&partnerID=40&md5=3a8b84647e9f6661ec01d1f4a04c0dc9",2-s2.0-84947918736
"Salles M.O., Bertotti M., Paixão T.R.L.C.","29167555400;7004562485;6506102243;",2012,"Sensors and Actuators, B: Chemical","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861182076&doi=10.1016%2fj.snb.2012.02.097&partnerID=40&md5=84653e11b176a0b41ea77ae31faaae13",2-s2.0-84861182076
"Cardinetti B., Ciampini C., Abate S., Marchetti C., Ferrari F., Di Tullio D., D'Onofrio C., Orlando G., Gravina L., Torresi L., Saporita G.","6506165418;6508003637;14044509400;14045730600;36883328400;6508260289;7006300281;7007157033;6505870190;6505837287;14045954900;",2006,"Scanning","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746238144&doi=10.1002%2fsca.4950280302&partnerID=40&md5=7fe8462d9bd883f391f98337e8d22b58",2-s2.0-33746238144
"Nakai I., Ono Y., Li Q., Nishiwaki Y., Tanaka K., Nakayama S.","7006352348;57207099913;57191695183;8712957700;55351720200;35413550300;",2010,"Surface and Interface Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951973669&doi=10.1002%2fsia.3113&partnerID=40&md5=cc39cf5a397a2cddfe81528295f1a194",2-s2.0-77951973669
"Melo Lucena M.A., Rodrigues M.O., Gatto C.C., Talhavini M., Maldaner A.O., Alves S., Jr., Weber I.T.","56641614000;10144730100;7003710701;6602405849;36883383800;35516899500;7102280478;",2016,"Journal of Luminescence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954390953&doi=10.1016%2fj.jlumin.2015.04.010&partnerID=40&md5=74ada0bde4b221530a41cd5d80be3ffb",2-s2.0-84954390953
"Bailey M.J., Jeynes C.","26640197300;7005965730;",2009,"Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms","https://www.scopus.com/inward/record.uri?eid=2-s2.0-66349112222&doi=10.1016%2fj.nimb.2009.03.031&partnerID=40&md5=0f7a84e7f7194ec7b00ee67dc5a477a7",2-s2.0-66349112222
"Panarin A.Y., Khodasevich I.A., Gladkova O.L., Terekhov S.N.","23006340400;6505955077;27967714000;7004313624;",2014,"Applied Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894613729&doi=10.1366%2f13-07034&partnerID=40&md5=5a148a20e2d998528c3b97ae7a44e831",2-s2.0-84894613729
"D'Uffizi M., Falso G., Ingo G.M., Padeletti G.","6507141223;6507578475;7006028215;7003778883;",2002,"Surface and Interface Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036692755&doi=10.1002%2fsia.1348&partnerID=40&md5=c1f5952ac851527593b7e37ed2d2ee8e",2-s2.0-0036692755
"Szynkowska M.I., Parczewski A., Szajdak K., Rogowski J.","57193914006;6603939834;48862324700;7006403424;",2013,"Surface and Interface Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872834536&doi=10.1002%2fsia.5142&partnerID=40&md5=9418c2569e42e0cf656214b614c0a0b3",2-s2.0-84872834536
"Dockery C.R., Turner J., Rosenberg M.B., Kammerdiener K., Mungai S.W.","6602477687;55447589700;8236814200;36600519300;36673573900;",2010,"Spectroscopy Letters","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958605926&doi=10.1080%2f00387010.2010.510750&partnerID=40&md5=533f878d36387ae3fb93c2f8a8a4026a",2-s2.0-77958605926
"Schumacher R., Barth M., Neimke D., Niewöhner L.","14630960900;57189351968;14631074000;20135268700;",2010,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954526420&doi=10.1117%2f12.853852&partnerID=40&md5=6b44d1d669363e886e1558b0cc8ee5d0",2-s2.0-77954526420
"Hondrogiannis E., Andersen D., Miziolek A.W.","55342863000;37100917000;7003962186;",2013,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881148483&doi=10.1117%2f12.2017900&partnerID=40&md5=69acbccbc96df591a4d9b295865c3f38",2-s2.0-84881148483
"Yilmaz D., Turşucu A., Uzunoǧlu Z., Korucu D.","56149584400;55257247100;41462051300;33567855000;",2014,"Radiation Physics and Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899870960&doi=10.1016%2fj.radphyschem.2014.04.012&partnerID=40&md5=e3db4cc4fd1bcc27dfedad4e7132c742",2-s2.0-84899870960
"Sen P., Mehta G.K.","7402920496;57196059648;",1983,"IEEE Transactions on Nuclear Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020115426&doi=10.1109%2fTNS.1983.4332515&partnerID=40&md5=23adb5e52af23ae90fa6531999c32a3e",2-s2.0-0020115426
"Filho E.V., de Sousa Filho P.C., Serra O.A., Weber I.T., Lucena M.A.M., Luz P.P.","57202219925;22952643700;7006385764;7102280478;7005609500;57196557625;",2018,"Journal of Luminescence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047460130&doi=10.1016%2fj.jlumin.2018.05.012&partnerID=40&md5=c93075743d2e3e91d62f6e460c351002",2-s2.0-85047460130
"Serwy I.B., Wanderley K.A., Lucena M.A.M., Maldaner A.O., Talhavini M., Rodrigues M.O., Weber I.T.","57201520698;37100627500;7005609500;36883383800;6602405849;10144730100;7102280478;",2018,"Journal of Luminescence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045191649&doi=10.1016%2fj.jlumin.2018.02.039&partnerID=40&md5=05ce531736118fa03822662017184001",2-s2.0-85045191649
"Fambro L.A., Vandenbos D.D., Rosenberg M.B., Dockery C.R.","57189263514;57189261324;8236814200;6602477687;",2017,"Applied Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018946966&doi=10.1177%2f0003702816689099&partnerID=40&md5=b9762a877cf1d05215a1bcb1e5ba42c7",2-s2.0-85018946966
"Burnett B.R.","35564659500;",2014,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922983230&doi=10.1117%2f12.2065553&partnerID=40&md5=f0014b023ebac5face68139d11f4d771",2-s2.0-84922983230
"Kotrlý M., Turková I.","56319424700;35086846200;",2011,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960419864&doi=10.1117%2f12.887850&partnerID=40&md5=a3777354822dab6f731d3fa682f1ec84",2-s2.0-79960419864
"Cervelli F., Carrato S., Mattei A., Jerian M., Benevoli L., Mancini L., Zanini F., Vaccari L., Perucchi A., Aquilanti G.","23134567700;7004596594;9132584400;9132584000;36909359600;7103376845;57204189019;6602731172;6603071452;55913711400;",2011,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952648611&doi=10.1117%2f12.876118&partnerID=40&md5=cf7265fc8fa49c639c393a9cefa3ee4a",2-s2.0-79952648611
"Kazimirov V.I., Zorin A.D., Zanozina V.F.","15064462400;7004846514;8983479500;",2006,"Journal of Applied Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751060057&doi=10.1007%2fs10812-006-0083-3&partnerID=40&md5=d87aa19399a4dcb8438f37fd3ebc8e04",2-s2.0-33751060057
"Duarte A., Silva L.M., De Souza C.T., Stori E.M., Boufleur L.A., Amaral L., Dias J.F.","57190884864;16302305400;53877000700;55515128100;26538663000;55952762600;7201934485;",2015,"Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027923464&doi=10.1016%2fj.nimb.2014.11.116&partnerID=40&md5=72de12208afcd4d317f6470ea5fc80f0",2-s2.0-85027923464
