Authors,Author(s) ID,Year,Source title,Link,EID
"Stein K.M., Bahner M.L., Merkel J., Ain S., Mattern R.","7202988774;7003266659;36523455100;14526763600;7005945561;",2000,"International Journal of Legal Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034484897&doi=10.1007%2fs004149900124&partnerID=40&md5=ac0bced49e040c0f744d58aef828b1bc",2-s2.0-0034484897
"Torre C., Mattutino G., Vasino V., Robino C.","7005464291;6506493063;6504256475;7003535231;",2002,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036112885&partnerID=40&md5=fd432f5d8da70a9bbcaf3dfb4247ce14",2-s2.0-0036112885
"Zeichner A., Levin N.","7005860122;16683533000;",1993,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027235595&partnerID=40&md5=b165ade7d8373b37108824e70daa3fdd",2-s2.0-0027235595
"Oommen Z., Pierce S.M.","6603044544;13606396600;",2006,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646746625&doi=10.1111%2fj.1556-4029.2006.00107.x&partnerID=40&md5=b46dca8d7bf78262ac34fc565d1b7e09",2-s2.0-33646746625
"Andrasko J., Norberg T., Ståhling S.","7004449107;7003360213;6506903503;",1998,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031702710&partnerID=40&md5=68476252ca763c68acf148fb8aa4e047",2-s2.0-0031702710
"Berk R.E., Rochowicz S.A., Wong M., Kopina M.A.","16648006100;16508196400;16508182300;6506420757;",2007,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250312030&doi=10.1111%2fj.1556-4029.2007.00457.x&partnerID=40&md5=053d2c6dcd963eff4e99d10ec0bc17c7",2-s2.0-34250312030
"Zeichner A., Levin N.","7005860122;16683533000;",1995,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028789778&partnerID=40&md5=884431fe0fac5d68f0cde2af962cca26",2-s2.0-0028789778
"DeGaetano D., Siegel J.A.","6507149665;7403199392;",1990,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025045729&partnerID=40&md5=c59fd42dbbdefd272e64c40e8c3d4192",2-s2.0-0025045729
"Heard B.J.","55952457800;",2008,"Handbook of Firearms and Ballistics: Examining and Interpreting Forensic Evidence: Second Edition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889317049&doi=10.1002%2f9780470694589&partnerID=40&md5=894e953107f6c07e8f9f431dd89219cb",2-s2.0-84889317049
"Andrasko J., Ståhling S.","7004449107;6506903503;",1999,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345551887&partnerID=40&md5=9a51255940d8fa5867645957d37ff244",2-s2.0-0345551887
