AIKeywords	CorrectedAIKeywords
"\5.4\"" HAND GUN"""	\5.4\ HAND GUN
"2 ,4-DINITROTOLUENE"	"2,4 DINITROTOLUENE"
"2,4-DINITROTOLUENE"	"2,4 DINITROTOLUENE"
"SPECTROSCOPY, ABSORPTION"	ABSORPTION SPECTROSCOPY
"MICROSCOPY, ACOUSTIC"	ACOUSTIC MICROSCOPY
ADHESIVE LIFTS	ADHESIVE LIFTER
AEROSOLS	AEROSOL
AIRBAGS	AIRBAG
AIRBORNE PARTICLES	AIRBORNE PARTICLE
ALGORITHMS	ALGORITHM
ALIZARIN RED S	ALIZARIN RED S (ARS)
ALKALOIDS	ALKALOID
ALLOYS	ALLOY
ALUMINUM	ALUMINIUM (AL)
AMMUNITIONS	AMMUNITION
ANIMALS	ANIMAL
ANIONS	ANION
ANTIMONY	ANTIMONY (SB)
ANTIMONY 121	ANTIMONY (SB)
ARTIFACTS	ARTIFACT
AAS	ATOMIC ABSORPTION SPECTROSCOPY (AAS)
ATOM-ABSORPTIONS-SPEKTROPHOTOMETRIE	ATOMIC ABSORPTION SPECTROSCOPY (AAS)
ATOMIC ABSORPTION SPECTROMETRY	ATOMIC ABSORPTION SPECTROSCOPY (AAS)
ATOMIC ABSORPTION SPECTROMETRY (AAS)	ATOMIC ABSORPTION SPECTROSCOPY (AAS)
ATOMIC ABSORPTION SPECTROPHOTOMETRY	ATOMIC ABSORPTION SPECTROSCOPY (AAS)
ATOMIC ABSORPTION SPECTROSCOPY	ATOMIC ABSORPTION SPECTROSCOPY (AAS)
ATOMIC EMISSION SPECTROMETRY	ATOMIC ABSORPTION SPECTROSCOPY (AAS)
ATOMIC EMISSION SPECTROSCOPY	ATOMIC ABSORPTION SPECTROSCOPY (AAS)
"SPECTROPHOTOMETRY, ATOMIC"	ATOMIC ABSORPTION SPECTROSCOPY (AAS)
"SPECTROPHOTOMETRY, ATOMIC ABSORPTION"	ATOMIC ABSORPTION SPECTROSCOPY (AAS)
BACK-SCATTERED	BACKSCATTER
BACK SPATTER	BACKSCATTER
BACKSPATTER	BACKSCATTER
BACK SCATTERED ELECTRON (BSE) SIGNAL	BACKSCATTERED ELECTRON DETECTOR
BACKSCATTER ELECTRON DETECTOR SYSTEM	BACKSCATTERED ELECTRON DETECTOR
BALLISTICS	BALLISTIC
BARIUM	BARIUM (BA)
BARIUM 137	BARIUM (BA)
BAYES' THEOREM	BAYES THEOREM
BIRDS	BIRD
BISMUTH	BISMUTH (BI)
BODY FLUIDS	BODY FLUID
BRAKE PADS	BRAKE PAD
