Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Bilen B., Ates Alkan F., Barutcu U.B., Sezen M., Unlu M.B., Aghayev K.","8534299800;57041358000;6505968753;25628705600;14326410000;33867467500;","Examination of metal mobilization from a gunshot by scanning acoustic microscopy, scanning electron microscopy, energy-dispersive X-ray spectroscopy, and inductively coupled plasma optical emission spectroscopy: A case report",2018,"Journal of Medical Case Reports","12","1", 391,"","",,,"10.1186/s13256-018-1905-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059244185&doi=10.1186%2fs13256-018-1905-7&partnerID=40&md5=95888b73d7ef88d44c44701465dd10d7","Physics Department, Bogazici University, Istanbul, Turkey; Biophysics Department, Faculty of Medicine, Beykent University, Istanbul, Turkey; Biophysics Department, Cerrahpasa Faculty of Medicine, Istanbul University, Istanbul, Turkey; Sabanci University Nanotechnology Research, Application Center, Sabanci University, Istanbul, Turkey; Biruni University Hospital, Istanbul, Turkey","Bilen, B., Physics Department, Bogazici University, Istanbul, Turkey; Ates Alkan, F., Biophysics Department, Faculty of Medicine, Beykent University, Istanbul, Turkey; Barutcu, U.B., Biophysics Department, Cerrahpasa Faculty of Medicine, Istanbul University, Istanbul, Turkey; Sezen, M., Sabanci University Nanotechnology Research, Application Center, Sabanci University, Istanbul, Turkey; Unlu, M.B., Physics Department, Bogazici University, Istanbul, Turkey; Aghayev, K., Biruni University Hospital, Istanbul, Turkey","Gunshot injury; Lead toxicity; Metal infiltration; Scanning acoustic microscopy","argon; cadmium; chromium; copper; edetic acid; iron; lead; manganese; nitric acid; perchloric acid; politef; selenium; trichloroacetic acid; zinc; metal; acoustic impedance; acoustic microscopy; adult; Article; blood sampling; buttock; case report; Caucasian; clinical article; clinical feature; concentration (parameter); discectomy; energy dispersive X ray spectroscopy; erythrocyte; female; finite element analysis; flow rate; follow up; foreign body; gas flow; gunshot injury; histology; human; human cell; human tissue; inductively coupled plasma mass spectrometry; lead poisoning; leg injury; lumbar disk hernia; medical history; metal metabolism; muscle resection; neurolysis; optical spectroscopy; pain; physical examination; postoperative period; priority journal; quadratus femoris muscle; recurrent disease; scanning electron microscopy; sciatic nerve; sciatic nerve injury; spine radiography; temperature; thigh; acoustic microscopy; complication; diagnostic imaging; foreign body; gunshot injury; lumbar vertebra; pathology; scanning electron microscopy; sciatic neuropathy; spectroscopy; treatment outcome; Adult; Buttocks; Diskectomy; Female; Foreign Bodies; Humans; Lumbar Vertebrae; Metals; Microscopy, Acoustic; Microscopy, Electron, Scanning; Sciatic Neuropathy; Spectrum Analysis; Treatment Outcome; Wounds, Gunshot",Article,"Final",Open Access,Scopus,2-s2.0-85059244185
"Eksinitkun G.","15123985600;","The Collection and Identification of Gunshot Residues to Distinguishing 4 Types of Bullets by ICP-MS",2018,"Journal of Physics: Conference Series","1144","1", 012118,"","",,,"10.1088/1742-6596/1144/1/012118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059464544&doi=10.1088%2f1742-6596%2f1144%2f1%2f012118&partnerID=40&md5=be125aac5f596fcfa3a473be9cac815c","Department of Chemistry, Faculty of Liberal Arts and Science, Kasetsart University, Kampeang Sean Campus, Nakhon Pathom, 73140, Thailand","Eksinitkun, G., Department of Chemistry, Faculty of Liberal Arts and Science, Kasetsart University, Kampeang Sean Campus, Nakhon Pathom, 73140, Thailand",,"Antimony; Forensic science; Inductively coupled plasma; Inductively coupled plasma mass spectrometry; Mass spectrometers; Analytical results; Bullet holes; Firing ranges; Forensic evidence; Gunshot residue; Metal target; Scientific evidence; Ammunition",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85059464544
"Seyfang K.E., Kobus H.J., Popelka-Filcoff R.S., Plummer A., Magee C.W., Jr., Redman K.E., Kirkbride K.P.","56957040600;7003432475;15521468200;57204518307;57200849481;56956687500;56337473100;","Analysis of elemental and isotopic variation in glass frictionators from 0.22 rimfire primers",2018,"Forensic Science International","293",,,"47","62",,3,"10.1016/j.forsciint.2018.10.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055914896&doi=10.1016%2fj.forsciint.2018.10.017&partnerID=40&md5=349470a275d65843cf01265c37fd020e","College of Science and Engineering, Flinders University, Sturt Road, Bedford Park, Adelaide, South Australia  5042, Australia; Forensic Services Branch, South Australia PoliceSouth Australia  5000, Australia; Australian Scientific Instruments, Fyshwick, ACT  2609, Australia; Australian National University, Research School of Earth SciencesACT  0200, Australia; Geoscience Australia, GPO Box 378, Canberra, ACT  2601, Australia; Forensic Science SA, Divett Place, Adelaide, South Australia  5000, Australia","Seyfang, K.E., College of Science and Engineering, Flinders University, Sturt Road, Bedford Park, Adelaide, South Australia  5042, Australia; Kobus, H.J., College of Science and Engineering, Flinders University, Sturt Road, Bedford Park, Adelaide, South Australia  5042, Australia; Popelka-Filcoff, R.S., College of Science and Engineering, Flinders University, Sturt Road, Bedford Park, Adelaide, South Australia  5042, Australia; Plummer, A., Forensic Services Branch, South Australia PoliceSouth Australia  5000, Australia; Magee, C.W., Jr., Australian Scientific Instruments, Fyshwick, ACT  2609, Australia, Australian National University, Research School of Earth SciencesACT  0200, Australia, Geoscience Australia, GPO Box 378, Canberra, ACT  2601, Australia; Redman, K.E., Forensic Science SA, Divett Place, Adelaide, South Australia  5000, Australia; Kirkbride, K.P., College of Science and Engineering, Flinders University, Sturt Road, Bedford Park, Adelaide, South Australia  5042, Australia","Elemental composition; Glass frictionator; Glass-containing gunshot residue (gGSR); Gunshot residue (GSR)","glass; glass fractionator; gunpowder; unclassified drug; analytic method; Article; chemical composition; comparative study; elemental analysis; energy dispersive X ray spectrometry; firearm; forensic examination; forensic medicine; glass refractive index measurement; isotope analysis; physical parameters; priority journal; refraction index; rimfire primer; scanning electron microscopy; time of flight mass spectrometry; X ray spectroscopy",Article,"Final",,Scopus,2-s2.0-85055914896
"Pereira De Oliveira L., Rocha D.P., Reis De Araujo W., Abarza Muñoz R.A., Longo Cesar Paixão T.R., Oliveira Salles M.","57204591960;57194055239;57204584786;56136382900;57204588106;57204588619;","Forensics in hand: New trends in forensic devices (2013-2017)",2018,"Analytical Methods","10","43",,"5135","5163",,5,"10.1039/c8ay01389f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056289207&doi=10.1039%2fc8ay01389f&partnerID=40&md5=a3ca6593418d41720a6ff8669024246d","Instituto de Química, Universidade Federal Do Rio de Janeiro, Rio de Janeiro, 21941-909, Brazil; Instituto de Química, Universidade Federal de Uberlândia UberlândiaMG  38408-100, Brazil; Instituto de Química, Universidade de São Paulo, São Paulo, 05508-900, Brazil","Pereira De Oliveira, L., Instituto de Química, Universidade Federal Do Rio de Janeiro, Rio de Janeiro, 21941-909, Brazil; Rocha, D.P., Instituto de Química, Universidade Federal de Uberlândia UberlândiaMG  38408-100, Brazil; Reis De Araujo, W., Instituto de Química, Universidade de São Paulo, São Paulo, 05508-900, Brazil; Abarza Muñoz, R.A., Instituto de Química, Universidade Federal de Uberlândia UberlândiaMG  38408-100, Brazil; Longo Cesar Paixão, T.R., Instituto de Química, Universidade de São Paulo, São Paulo, 05508-900, Brazil; Oliveira Salles, M., Instituto de Química, Universidade Federal Do Rio de Janeiro, Rio de Janeiro, 21941-909, Brazil",,"Agricultural chemicals; Chemical analysis; Biological fluids; Forensic analysis; Gunshot residue; Hot topics; Illicit drug; Intelligent devices; Portable device; Scientific literature; Forensic science",Review,"Final",,Scopus,2-s2.0-85056289207
"Pluháček T., Švidrnoch M., Maier V., Havlíček V., Lemr K.","56646573600;35489220200;8674428400;7006615565;7003444191;","Laser ablation inductively coupled plasma mass spectrometry imaging: A personal identification based on a gunshot residue analysis on latent fingerprints",2018,"Analytica Chimica Acta","1030",,,"25","32",,,"10.1016/j.aca.2018.05.074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048091404&doi=10.1016%2fj.aca.2018.05.074&partnerID=40&md5=76588a1ca78c23ddeaa459846cc8586a","Regional Centre of Advanced Technologies and Materials, Department of Analytical Chemistry, Faculty of Science, Palacky University in Olomouc, 17. listopadu 12, Olomouc, CZ-771 46, Czech Republic; Institute of Microbiology of the Czech Academy of Sciences, Vídeňská 1083, Prague, CZ-142 20, Czech Republic; Department of Forensic Medicine and Medical Law, Faculty Hospital and Faculty of Medicine and Dentistry, Hněvotínska 3, Olomouc, CZ-779 00, Czech Republic; Department of Chemistry, Faculty of Science, University of Ostrava, 30. dubna 22, CZ-701 03, Ostrava, Czech Republic","Pluháček, T., Regional Centre of Advanced Technologies and Materials, Department of Analytical Chemistry, Faculty of Science, Palacky University in Olomouc, 17. listopadu 12, Olomouc, CZ-771 46, Czech Republic, Institute of Microbiology of the Czech Academy of Sciences, Vídeňská 1083, Prague, CZ-142 20, Czech Republic; Švidrnoch, M., Regional Centre of Advanced Technologies and Materials, Department of Analytical Chemistry, Faculty of Science, Palacky University in Olomouc, 17. listopadu 12, Olomouc, CZ-771 46, Czech Republic, Department of Chemistry, Faculty of Science, University of Ostrava, 30. dubna 22, CZ-701 03, Ostrava, Czech Republic; Maier, V., Department of Forensic Medicine and Medical Law, Faculty Hospital and Faculty of Medicine and Dentistry, Hněvotínska 3, Olomouc, CZ-779 00, Czech Republic; Havlíček, V., Regional Centre of Advanced Technologies and Materials, Department of Analytical Chemistry, Faculty of Science, Palacky University in Olomouc, 17. listopadu 12, Olomouc, CZ-771 46, Czech Republic, Institute of Microbiology of the Czech Academy of Sciences, Vídeňská 1083, Prague, CZ-142 20, Czech Republic; Lemr, K., Regional Centre of Advanced Technologies and Materials, Department of Analytical Chemistry, Faculty of Science, Palacky University in Olomouc, 17. listopadu 12, Olomouc, CZ-771 46, Czech Republic, Institute of Microbiology of the Czech Academy of Sciences, Vídeňská 1083, Prague, CZ-142 20, Czech Republic","Dactyloscopy; Fingerprint; Gunshot residues; Imaging; Inductively coupled plasma mass spectrometry; Laser ablation","Ablation; Crime; Imaging techniques; Inductively coupled plasma; Inductively coupled plasma mass spectrometry; Laser ablation; Metals; Biometric informations; Dactyloscopy; Fingerprint; Gunshot residue; Laser ablation inductively-coupled plasma mass spectrometries; Latent fingerprint; Limits of detection; Personal identification; Palmprint recognition; antimony; barium; copper; lead; mercury; zinc; metal; analytical parameters; Article; biometry; controlled study; finger dermatoglyphics; gunshot injury; human; laser ablation inductively coupled plasma mass spectrometry; limit of detection; metallic impurity; offender; priority journal; residue analysis; spatial analysis; dermatoglyphics; low level laser therapy; mass spectrometry; Dermatoglyphics; Laser Therapy; Mass Spectrometry; Metals",Article,"Final",,Scopus,2-s2.0-85048091404
"Maitre M., Kirkbride K.P., Horder M., Roux C., Beavis A.","57192155063;56337473100;57113201600;7202017940;7007045269;","Thinking beyond the lab: organic gunshot residues in an investigative perspective",2018,"Australian Journal of Forensic Sciences","50","6",,"659","665",,2,"10.1080/00450618.2018.1457718","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045664124&doi=10.1080%2f00450618.2018.1457718&partnerID=40&md5=0dbb5aa62fd7a3075c009dd1f1052350","Centre for Forensic Science, University of Technology Sydney, Sydney, Australia; School of Chemical and Physical Sciences, Flinders University, Adelaide, Australia; Forensic Ballistics Investigation Section, Forensic Services Group, NSW Police Force, Surry Hills, Australia","Maitre, M., Centre for Forensic Science, University of Technology Sydney, Sydney, Australia; Kirkbride, K.P., School of Chemical and Physical Sciences, Flinders University, Adelaide, Australia; Horder, M., Forensic Ballistics Investigation Section, Forensic Services Group, NSW Police Force, Surry Hills, Australia; Roux, C., Centre for Forensic Science, University of Technology Sydney, Sydney, Australia; Beavis, A., Centre for Forensic Science, University of Technology Sydney, Sydney, Australia","Firearm discharge residues; firearm investigation; interpretation; persistence; pre-assessment","diphenylamine; diphenylnitrosamine; gunpowder; Article; degradation; dispersion; firearm; human; investigative procedures; plume",Article,"Final",,Scopus,2-s2.0-85045664124
"Maitre M., Horder M., Kirkbride K.P., Gassner A.-L., Weyermann C., Roux C., Beavis A.","57192155063;57113201600;56337473100;24764836500;23978745200;7202017940;7007045269;","A forensic investigation on the persistence of organic gunshot residues",2018,"Forensic Science International","292",,,"1","10",,4,"10.1016/j.forsciint.2018.08.036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053786512&doi=10.1016%2fj.forsciint.2018.08.036&partnerID=40&md5=054cbf1d9c1e01f091bc8610a375cf17","Centre for Forensic Science, University of Technology Sydney, P.O. Box 123, BroadwayNSW  2007, Australia; Forensic Ballistics Investigation Section, Forensic Services Group, NSW Police Force, Goulburn St., Surry HillsNSW  2010, Australia; School of Chemical and Physical Sciences, Flinders University, GPO Box 2100, Adelaide, SA  5001, Australia; School of Criminal Justice, University of Lausanne, Batochime, Lausanne, 1015, Switzerland","Maitre, M., Centre for Forensic Science, University of Technology Sydney, P.O. Box 123, BroadwayNSW  2007, Australia; Horder, M., Forensic Ballistics Investigation Section, Forensic Services Group, NSW Police Force, Goulburn St., Surry HillsNSW  2010, Australia; Kirkbride, K.P., School of Chemical and Physical Sciences, Flinders University, GPO Box 2100, Adelaide, SA  5001, Australia; Gassner, A.-L., School of Criminal Justice, University of Lausanne, Batochime, Lausanne, 1015, Switzerland; Weyermann, C., School of Criminal Justice, University of Lausanne, Batochime, Lausanne, 1015, Switzerland; Roux, C., Centre for Forensic Science, University of Technology Sydney, P.O. Box 123, BroadwayNSW  2007, Australia; Beavis, A., Centre for Forensic Science, University of Technology Sydney, P.O. Box 123, BroadwayNSW  2007, Australia",".357 Magnum; .40 S&W; FDR; Firearm discharge residues; OGSR; UPLC–MS/MS","diphenylamine; diphenylnitrosamine; heavy metal; Article; combustion; concentration (parameters); conceptual framework; firearm; forensic science; gunshot injury; police; prevalence; priority journal; trend study",Article,"Final",,Scopus,2-s2.0-85053786512
"Bueno J., Halámková L., Rzhevskii A., Lednev I.K.","55220519700;54414110100;57191958064;7004549899;","Raman microspectroscopic mapping as a tool for detection of gunshot residue on adhesive tape",2018,"Analytical and Bioanalytical Chemistry","410","28",,"7295","7303",,2,"10.1007/s00216-018-1359-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053934889&doi=10.1007%2fs00216-018-1359-1&partnerID=40&md5=97b727f60c28aa003bc877a1f24e42a1","Department of Chemistry, University at Albany, SUNY, 1400 Washington Avenue, Albany, NY  12222, United States; Thermo Fisher Scientific, 2 Radcliff Rd, Tewksbury, MA  01876, United States","Bueno, J., Department of Chemistry, University at Albany, SUNY, 1400 Washington Avenue, Albany, NY  12222, United States; Halámková, L., Department of Chemistry, University at Albany, SUNY, 1400 Washington Avenue, Albany, NY  12222, United States; Rzhevskii, A., Thermo Fisher Scientific, 2 Radcliff Rd, Tewksbury, MA  01876, United States; Lednev, I.K., Department of Chemistry, University at Albany, SUNY, 1400 Washington Avenue, Albany, NY  12222, United States","Chemical mapping; Chemometrics; Classification; GSR; Gunshot residue; Raman spectroscopy","Adhesives; Automation; Automobile parts and equipment; Classification (of information); Discriminant analysis; Heavy metals; Mapping; Multivariant analysis; Raman spectroscopy; Spectroscopic analysis; Support vector machines; Analysis techniques; Automatic identification; Chemical mapping; Chemometrics; Classification rates; Detection techniques; Gunshot residue; Multi variate analysis; Chemical detection",Article,"Final",,Scopus,2-s2.0-85053934889
"Doña-Fernández A., de Andres-Gimeno I., Santiago-Toribio P., Valtuille-Fernández E., Aller-Sanchez F., Heras-González A.","57204124213;57204128178;57204126547;57204120517;57204121312;57204122434;","Real-time detection of GSR particles from crime scene: A comparative study of SEM/EDX and portable LIBS system",2018,"Forensic Science International","292",,,"167","175",,,"10.1016/j.forsciint.2018.09.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054593662&doi=10.1016%2fj.forsciint.2018.09.021&partnerID=40&md5=fcb01b017e64882e18c16e8722b12305","Center of Excellence in Security Systems, Moisés de Leon, 57, Leon, 24006, Spain; Chemical Laboratory of the Spanish Scientific Police Headquarters (National Police), Julián González Segador s/n, Madrid, 28043, Spain; Ballistics Section of the Spanish Scientific Police Headquarters (National Police), Julián González Segador s/n, Madrid, 28043, Spain","Doña-Fernández, A., Center of Excellence in Security Systems, Moisés de Leon, 57, Leon, 24006, Spain; de Andres-Gimeno, I., Chemical Laboratory of the Spanish Scientific Police Headquarters (National Police), Julián González Segador s/n, Madrid, 28043, Spain; Santiago-Toribio, P., Chemical Laboratory of the Spanish Scientific Police Headquarters (National Police), Julián González Segador s/n, Madrid, 28043, Spain; Valtuille-Fernández, E., Center of Excellence in Security Systems, Moisés de Leon, 57, Leon, 24006, Spain; Aller-Sanchez, F., Center of Excellence in Security Systems, Moisés de Leon, 57, Leon, 24006, Spain; Heras-González, A., Ballistics Section of the Spanish Scientific Police Headquarters (National Police), Julián González Segador s/n, Madrid, 28043, Spain","Forensic analysis; GSR particles; LIBS; Portable system; SEM/EDX","aluminum; antimony; barium; lead; Article; comparative study; controlled study; crime; energy dispersive X ray spectroscopy; false negative result; false positive result; gunshot injury; laser induced breakdown spectroscopy; materials handling; measurement accuracy; priority journal; residue analysis; scanning electron microscopy; sensitivity and specificity; signal noise ratio",Article,"Final",,Scopus,2-s2.0-85054593662
"Boracchi M., Andreola S., Collini F., Gentile G., Lucchini G., Maciocco F., Sacchi G.A., Zoja R.","57132991800;57198259689;56373263900;23466974600;7005358330;57194274087;36747984300;6506348083;","Can cadaverous pollution from environmental lead misguide to false positive results in the histochemical determination of Gunshot Residues? In-depth study using ultra-sensitive ICP-MS analysis on cadaveric skin samples",2018,"Forensic Science International","292",,,"23","26",,,"10.1016/j.forsciint.2018.08.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053832329&doi=10.1016%2fj.forsciint.2018.08.041&partnerID=40&md5=638d4a87ad119f07d3a617c3c54c32bf","Dipartimento di Scienze Biomediche per la Salute-Sezione di Medicina Legale e delle Assicurazioni, Università degli Studi di Milano, Via Luigi Mangiagalli, 37, Milano, 20133, Italy; Dipartimento di Scienze Agrarie e Ambientali-Produzione,Territorio, Agroenergia Università degli Studi di Milano, Via Celoria, 2, Milano, 20133, Italy","Boracchi, M., Dipartimento di Scienze Biomediche per la Salute-Sezione di Medicina Legale e delle Assicurazioni, Università degli Studi di Milano, Via Luigi Mangiagalli, 37, Milano, 20133, Italy; Andreola, S., Dipartimento di Scienze Biomediche per la Salute-Sezione di Medicina Legale e delle Assicurazioni, Università degli Studi di Milano, Via Luigi Mangiagalli, 37, Milano, 20133, Italy; Collini, F., Dipartimento di Scienze Biomediche per la Salute-Sezione di Medicina Legale e delle Assicurazioni, Università degli Studi di Milano, Via Luigi Mangiagalli, 37, Milano, 20133, Italy; Gentile, G., Dipartimento di Scienze Biomediche per la Salute-Sezione di Medicina Legale e delle Assicurazioni, Università degli Studi di Milano, Via Luigi Mangiagalli, 37, Milano, 20133, Italy; Lucchini, G., Dipartimento di Scienze Agrarie e Ambientali-Produzione,Territorio, Agroenergia Università degli Studi di Milano, Via Celoria, 2, Milano, 20133, Italy; Maciocco, F., Dipartimento di Scienze Biomediche per la Salute-Sezione di Medicina Legale e delle Assicurazioni, Università degli Studi di Milano, Via Luigi Mangiagalli, 37, Milano, 20133, Italy; Sacchi, G.A., Dipartimento di Scienze Agrarie e Ambientali-Produzione,Territorio, Agroenergia Università degli Studi di Milano, Via Celoria, 2, Milano, 20133, Italy; Zoja, R., Dipartimento di Scienze Biomediche per la Salute-Sezione di Medicina Legale e delle Assicurazioni, Università degli Studi di Milano, Via Luigi Mangiagalli, 37, Milano, 20133, Italy","Autopsy; Environmental lead; Forensic pathology; GSR; ICP-MS","antimony; barium; environmental chemical; lead; paraffin; antimony; barium; cyclohexanone derivative; lead; rhodizonic acid; adolescent; adult; aged; Article; cadaver; cause of death; chemical analysis; concentration (parameters); controlled study; false positive result; female; forensic identification; gunshot injury; histochemistry; human; inductively coupled plasma mass spectrometry; male; pollution; priority journal; skin examination; victim; case control study; chemistry; environmental exposure; forensic medicine; gunshot injury; mass spectrometry; middle aged; procedures; skin; very elderly; young adult; Adolescent; Adult; Aged; Aged, 80 and over; Antimony; Barium; Cadaver; Case-Control Studies; Cyclohexanones; Environmental Exposure; Female; Forensic Medicine; Humans; Lead; Male; Mass Spectrometry; Middle Aged; Skin; Wounds, Gunshot; Young Adult",Article,"Final",,Scopus,2-s2.0-85053832329
